uri,artisturi,id,title
spotify:album:0FDGU2gZeZBoAHZa4X9IMc,spotify:artist:49WCE2KzOvQu0wHsRcwaah,0FDGU2gZeZBoAHZa4X9IMc,Vampire: The Masquerade - Bloodlines (More Music From the Vault)
spotify:album:2YeOhhJg3OWpN0F1VYPxtW,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,2YeOhhJg3OWpN0F1VYPxtW,A Fever You Can't Sweat Out
spotify:album:4SFB6GvNUyJ2V0z2BBfGgK,spotify:artist:03Tk5nZMEoqaWZOXoiN7Km,4SFB6GvNUyJ2V0z2BBfGgK,"Ghibli, Anime & Chill"
spotify:album:5G6oMu9zNW2acdV0lqzI3L,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,5G6oMu9zNW2acdV0lqzI3L,All This Bad Blood
