popularity,albumuri,uri,artisturi,id,duration,explicit,tracknumber,title
14,spotify:album:0FDGU2gZeZBoAHZa4X9IMc,spotify:track:1VBO7TEeKYXAuFn1So5GqD,spotify:artist:49WCE2KzOvQu0wHsRcwaah,1VBO7TEeKYXAuFn1So5GqD,436460,false,16,World of Darkness
76,spotify:album:2YeOhhJg3OWpN0F1VYPxtW,spotify:track:4bPQs0PHn4xbipzdPfn6du,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,4bPQs0PHn4xbipzdPfn6du,186634,false,10,I Write Sins Not Tragedies
60,spotify:album:4SFB6GvNUyJ2V0z2BBfGgK,spotify:track:6VcyHKX0tZvwFYtgJL7IcX,spotify:artist:03Tk5nZMEoqaWZOXoiN7Km,6VcyHKX0tZvwFYtgJL7IcX,91725,false,1,The Girl Who Fell From The Sky (Laputa)
58,spotify:album:5G6oMu9zNW2acdV0lqzI3L,spotify:track:14qPtxNN9MBdqKpP6l5q6G,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,14qPtxNN9MBdqKpP6l5q6G,218800,false,9,Flaws
